ASCII Name;Coordinates
Kozlovice;49.5904,18.25656
Kostelec na Hane;49.51398,17.05824
Kamenny Ujezd;48.89753,14.44638
Kamenice nad Lipou;49.30303,15.07519
Frymburk;48.66094,14.16564
Dvorce;49.83332,17.54762
Dolni Podluzi;50.87988,14.59503
Chlumec nad Cidlinou;50.1544,15.46026
Bruntal;49.98844,17.4647
Breznice;49.18643,17.66277
Bor;49.71159,12.77516
Blansko;49.36304,16.64446
Bakov nad Jizerou;50.4823,14.94149
Zirndorf;49.4424,10.95414
Zarpen;53.86667,10.51667
Zapfendorf;50.01783,10.93243
Wusterhusen;54.11312,13.61608
Wolmirstedt;52.24856,11.62945
Wollmatingen;47.69226,9.14595
Wittgensdorf;50.88316,12.87031
Winzer;48.72285,13.07751
Wiesenfelden;49.04066,12.54008
Wiesa;50.61114,13.01377
Widdern;49.31825,9.42209
Wettin;51.58604,11.8063
Wesenberg;53.2803,12.96936
Wesel;51.6669,6.62037
Wertach;47.60301,10.40966
Werda;50.43811,12.30473
Welden;48.45505,10.66086
Weinbach;50.43843,8.29133
Weimar;50.9803,11.32903
Wartmannsroth;50.16667,9.78333
Waldbroel;50.87576,7.61688
Volpke;52.13865,11.09877
Vollersode;53.33333,8.91667
Voelkershausen;50.8,10.05
Unterneukirchen;48.16667,12.61667
Ummern;52.59111,10.43195
Uelzen;52.96572,10.56111
Trossingen;48.07667,8.64409
Trappenkamp;54.03988,10.21496
Thomasburg;53.23333,10.66667
Tarnow;53.77941,12.01785
Talheim;49.08333,9.19306
Sulzbach;50.13396,8.52797
Sudwalde;52.79337,8.83611
Struppen;50.93333,14.01667
Stottwang;47.88333,10.71667
Sternenfels;49.05139,8.85083
Steinkirchen;48.38333,12.08333
Speichersdorf;49.87133,11.78123
Sosa;50.49917,12.6512
Singen;47.75935,8.8403
Simmersfeld;48.61667,8.51667
Sieverstedt;54.64145,9.46949
Siefersheim;49.8,7.95
Siebeldingen;49.20889,8.05139
Seulingen;51.54129,10.16263
Seehausen;52.88872,11.75236
Schwindegg;48.27155,12.25978
Schwerte;51.44387,7.5675
Schwepnitz;51.32809,13.95772
Schwarmstedt;52.67794,9.61767
Schwalmtal;50.68333,9.21667
Schwaig;49.46955,11.20064
Schmalkalden;50.72136,10.44386
Schkeuditz;51.39678,12.22141
Schaufling;48.85,13.06667
Sankt Peter-Ording;54.30363,8.64138
Ruppertsweiler;49.19707,7.68957
Ruhland;51.45755,13.86643
Rothenfels;49.89135,9.5926
Rothenburg ob der Tauber;49.37885,10.18711
Roetgen;50.65,6.2
Rotenburg an der Fulda;50.99556,9.72838
Ronneburg;50.8634,12.18666
Ringleben;51.36667,11.21667
Bovisio-Masciago;45.61019,9.15301
Borghetto Santo Spirito;44.11187,8.24129
Bolognano;42.21814,13.96011
Birori;40.26593,8.8157
Gabbioneta;45.21627,10.22027
Besnate;45.69858,8.76734
Bellano;46.04426,9.30734
Bastia umbra;43.06425,12.54612
Azzanello;45.31312,9.91973
Aymavilles;45.7013,7.24683
Atella;40.87855,15.65226
Arzene;45.99965,12.85034
Artegna;46.23929,13.15399
Ariano;44.94604,12.12448
Arco;45.91772,10.88672
Anzi;40.51662,15.92457
Anguillara Veneta;45.14249,11.88461
Alfano;40.17687,15.4245
Albenga;44.04997,8.21829
Acciano;42.17677,13.71783
San Mauro a Mare;44.16367,12.44631
Lido di Pomposa-Lido degli Scacchi;44.70667,12.23611
Capriva del Friuli;45.94093,13.51422
Meduna di Livenza;45.8172,12.62828
Colle Umberto;45.94238,12.34228
Ciano;45.82389,12.05417
Casacorba;45.65944,12.03889
Bocco;44.35111,9.30333
San Bartolomeo al Mare;43.92312,8.10482
Orta di Atella;40.96441,14.26854
Priero;44.37604,8.09334
Castellero;44.92535,8.07383
Piova Massaia;45.05515,8.05013
San Giorgio Monferrato;45.10735,8.41614
Cino;46.15843,9.48534
Casasco Intelvi;45.94368,9.07574
Mactun;17.5898,-91.29298
Los Herreras;25.90797,-99.40479
Los Guerra;26.39429,-99.07972
Las Mesas;17.00794,-99.45786
Congregacion Reforma;14.78208,-92.31424
La Libertad;23.79079,-99.19132
La Gloria;19.42631,-96.40211
Kochol;20.61867,-90.15906
Jonacapa;20.43358,-99.53306
Ignacio Zaragoza;14.74077,-92.17143
Huitzila;19.81137,-98.95583
Huepalcalco (San Miguel);18.90889,-98.75
Francisco I. Madero;15.06996,-92.54435
Faja de Oro;15.03244,-92.15634
Escolin de Olarte;20.4984,-97.42336
El Llano;20.06537,-99.31976
El Humo;21.17568,-97.94169
Ejutla de Crespo;16.56623,-96.73123
Ejido Viejo;16.94812,-99.94606
Dzan;20.38888,-89.46855
San Jose Cuamantzingo;19.51555,-98.25373
Cruz Grande;16.72241,-99.12356
Cruz Blanca;19.63744,-97.16691
Cristobal Obregon;16.35,-93.53333
San Juan Coajomulco;19.75306,-99.96861
Chontalpa;17.66614,-93.48115
Chilon;17.23333,-92.41667
Chicuasen;19.52785,-96.67224
Chichihualco;17.65902,-99.67624
Cerro Gordo;20.37329,-99.91385
Calihuala;17.53134,-98.27792
Beristain;20.09426,-98.1329
Benito Juarez;15.88178,-96.32405
Ayahualulco;19.35113,-97.14874
Amilcingo;18.74274,-98.77089
Santa Maria Amealco;20.23771,-99.54963
Amatlan de los Reyes;18.84658,-96.91595
Almoloya de Alquisiras;18.86564,-99.89452
Aljojuca;19.09933,-97.52973
Akumal;20.39693,-87.31444
Ahuacatlan;15.0403,-92.18036
Acula;18.50563,-95.77427
San Lorenzo Achiotepec;20.59732,-98.06876
Acatlan de Osorio;18.2025,-98.04864
Acamixtla;18.56512,-99.56599
Acajete;19.11154,-97.95231
Santa Maria Puxmetacan;17.26861,-95.62333
El Arador;16.54111,-97.18194
San Juan Lachao;16.15891,-97.12449
San Juan Lagunas;16.99748,-97.93066
Santiago Tenango;17.32489,-97.00467
San Lorenzo;17.66867,-98.11986
Mariscala de Juarez;17.85972,-98.14083
Teococuilco de Marcos Perez;17.3527,-96.61528
Guadalupe Victoria;16.89627,-95.84981
Culico 2da. Seccion;18.14116,-93.13222
Dengantzha;20.27211,-99.12098
Cardonal;20.05689,-99.23025
Solbiate;45.78968,8.93314
Bellusco;45.61958,9.41905
Agnosine;45.64969,10.35267
Alfianello;45.26698,10.14817
Losine;45.98349,10.31616
Torricella Verzate;45.01996,9.17356
Grancona;45.42189,11.4516
Castel di Lama;42.86435,13.71929
Onzo;44.07013,8.05225
Vendone;44.07693,8.07115
Remedello;45.27838,10.37198
Valvestino;45.76069,10.59547
Valle Aurina - Ahrntal;46.99623,11.97988
Imposte;42.68634,13.52829
Brovello-Carpugnino;45.84247,8.53173
Montacuto;44.76645,9.10496
Fiorano al Serio;45.80018,9.84276
Montecreto;44.24596,10.7176
Maltignano;42.83225,13.68799
Coreno Ausonio;41.34735,13.77648
Levate;45.62518,9.62415
Vistarino;45.21077,9.30825
Figline Vegliaturo;39.22519,16.3303
Savoca;37.95326,15.34009
Cassago Brianza;45.73808,9.29344
Chianocco;45.14854,7.16981
Lugnacco;45.44506,7.78212
Maggiora;45.68937,8.42233
Pisano;45.79567,8.51487
Clavesana;44.48334,7.91084
Igliano;44.44294,8.01334
Almensilla;37.31099,-6.10998
Almendricos;37.47256,-1.77468
Algodonales;36.88044,-5.40536
Alcollarin;39.2447,-5.73924
Alcanizo;39.90315,-5.10588
Agost;38.44003,-0.63836
Alcala del Rio;37.5178,-5.98185
Abanilla;38.20537,-1.04153
Zarzosa;42.18294,-2.34297
Yuncos;40.0859,-3.87106
Villodre;42.21161,-4.24484
Villar de Olalla;40.01496,-2.19561
Villanueva de Cameros;42.16719,-2.6504
Villamanin;42.93864,-5.65669
Vilagarcia de Arousa;42.59631,-8.76426
Villacidaler;42.22168,-4.97668
Viladasens;42.08333,2.93333
Vallelado;41.40436,-4.42662
Valfarta;41.55726,-0.13304
Valdefinjas;41.45172,-5.45232
Uruenas;41.35589,-3.77391
Ugena;40.15572,-3.87603
Trefacio;42.12165,-6.65407
Torres de Berrellen;41.75797,-1.0655
Torres de Albarracin;40.42709,-1.53242
Torlengua;41.45483,-2.16183
Koradachcheri;10.77019,79.49158
Kilvelur;10.76721,79.74186
Khagaria;25.5022,86.46708
Khada;27.18333,83.88333
Kathor;21.28854,72.9407
Kanchipuram;12.83515,79.70006
Kalaikunda;22.3393,87.22637
Kadod;21.21717,73.21972
Jangipur;24.47001,88.07659
Jandiala;31.1593,75.61755
Jalgaon;17.74026,73.19087
La Chapelle-Gauthier;48.54947,2.89776
La Barasse;43.28433,5.48664
Riehl;50.96686,6.97572
Riedering;47.83874,12.20778
Riede;52.96667,8.95
Remscheid;51.17983,7.1925
Remlingen;49.80477,9.69484
Reinbek;53.51703,10.2488
Reilingen;49.29833,8.56417
Reichartshausen;49.355,8.94528
Raunheim;50.0132,8.45253
Rahden;52.43367,8.61263
Queidersbach;49.36667,7.63333
Puchheim;48.15,11.35
Priestewitz;51.25,13.51667
Presseck;50.22804,11.55508
Preetz;54.2354,10.27795
Pobershau;50.64079,13.21776
Pfronstetten;48.27641,9.35995
Pfaffenhofen;48.39334,11.20563
Parsberg;49.16074,11.71834
Otterfing;47.90898,11.67546
Oberwolfach;48.31667,8.21667
Oberschneiding;48.79573,12.642
Ober-Saulheim;49.86376,8.13526
Oberottmarshausen;48.23716,10.85754
Langfurth;49.10112,10.45359
Ober-Florsheim;49.68306,8.15528
Oberelsbach;50.44118,10.11692
Nunchritz;51.29993,13.38555
Nottensdorf;53.48333,9.6
Northeim;51.70662,9.99997
Noerten-Hardenberg;51.62878,9.93593
Nordwalde;52.08333,7.48333
Norderstedt;53.6859,9.98041
Nikolassee;52.4344,13.20095
Niederzimmern;51.00476,11.19028
Neustrelitz;53.3613,13.07292
